69405.65793665746,0.0005,[8, 8],2900
223515.30477491932,0.0005,[8, 8],3000
68778.7293072166,0.0005,[8, 8],3100
68826.0678066828,0.0005,[8, 8],3200
68880.70047143905,0.0005,[8, 8],3300
68808.63777235417,0.0005,[8, 8],3400
68812.01425304473,0.0005,[8, 8],3500
68846.24398856124,0.0005,[8, 8],3600
68780.35117142173,0.0005,[8, 8],3700
223515.30477491932,0.0005,[8, 8],3800
223515.30477491932,0.0005,[8, 8],3900
68782.33398620583,0.0005,[8, 8],4000
68807.03191335412,0.0005,[8, 8],4100
223515.30477491932,0.0005,[8, 8],4200
68780.93596473004,0.0005,[8, 8],4300
68780.20391680856,0.0005,[8, 8],4400
68782.53665408958,0.0005,[8, 8],4500
68776.16762191578,0.0005,[8, 8],4600
223515.30477491932,0.0005,[8, 8],4700
223515.30477491932,0.0005,[8, 8],4800
68776.20187775507,0.0005,[8, 8],4900
68780.27032757299,0.0005,[8, 8],5000
68778.06473359292,0.0005,[8, 8],5100
70559.115209112,0.0005,[8, 8, 8],1000
69797.42551580774,0.0005,[8, 8, 8],1100
223515.30477491932,0.0005,[8, 8],5200
68776.20553453262,0.0005,[8, 8],5300
223515.30477491932,0.0005,[8, 8],5400
70638.91966469941,0.0005,[8, 8, 8],1200
69216.4598463335,0.0005,[8, 8, 8],1300
223515.30477491932,0.0005,[8, 8],5500
68904.06063111882,0.0005,[8, 8, 8],1400
223515.30477491932,0.0005,[8, 8],5600
223515.30477491932,0.0005,[8, 8, 8],1500
68953.2338516708,0.0005,[8, 8, 8],1600
223515.30477491932,0.0005,[8, 8],5700
68834.7037649315,0.0005,[8, 8, 8],1700
223515.30477491932,0.0005,[8, 8, 8],1800
68776.19920821184,0.0005,[8, 8],5800
223515.30477491932,0.0005,[8, 8, 8],1900
68776.201866099,0.0005,[8, 8],5900
68921.41963278363,0.0005,[8, 8, 8],2000
68894.58690177095,0.0005,[8, 8, 8],2100
68789.06013481198,0.0005,[8, 8, 8],2200
68904.04902055732,0.0005,[8, 8, 8],2300
223515.30477491932,0.0005,[8, 8, 8],2400
68776.29764745697,0.0005,[8, 8, 8],2500
223515.30477491932,0.0005,[8, 8, 8],2600
68775.5937689607,0.0005,[8, 8, 8],2700
68772.38660421247,0.0005,[8, 8, 8],2800
223515.30477491932,0.0005,[8, 8, 8],2900
223515.30477491932,0.0005,[8, 8, 8],3000
68778.78900505506,0.0005,[8, 8, 8],3100
68777.60294143902,0.0005,[8, 8, 8],3200
68809.01106405936,0.0005,[8, 8, 8],3300
68812.10313891846,0.0005,[8, 8, 8],3400
223515.30477491932,0.0005,[8, 8, 8],3500
223515.30477491932,0.0005,[8, 8, 8],3600
68776.20105572023,0.0005,[8, 8, 8],3700
68776.19954025533,0.0005,[8, 8, 8],3800
68782.08810955314,0.0005,[8, 8, 8],3900
223515.30477491932,0.0005,[8, 8, 8],4000
68777.71766421107,0.0005,[8, 8, 8],4100
68776.20061499825,0.0005,[8, 8, 8],4200
68776.3885418075,0.0005,[8, 8, 8],4300
223515.30477491932,0.0005,[8, 8, 8],4400
68776.1992819437,0.0005,[8, 8, 8],4500
223515.30477491932,0.0005,[8, 8, 8],4600
68776.43434515716,0.0005,[8, 8, 8],4700
223515.30477491932,0.0005,[8, 8, 8],4800
69628.49649233696,0.0005,[13, 8],1000
68776.01044743095,0.0005,[8, 8, 8],4900
